date,time_range,start_ts,end_ts,temp,feels_like,pressure,humidity,temp_min,temp_max,WindSpeed,weatherId,weatherMain,weatherDescription,solarEnergyOutput
10-02-2025,0:00-1:00,1739145600,1739149200,6.87,3.21,1032,87,6.87,7.07,6.17,803,Clouds,broken clouds,0
10-02-2025,1:00-2:00,1739149200,1739152800,6.87,3.4,1032,81,6.87,7.07,5.66,803,Clouds,broken clouds,0
10-02-2025,02:00-03:00,1739152800,1739156400,6.87,3.21,1031,81,6.87,7.07,6.17,803,Clouds,broken clouds,0
10-02-2025,03:00-04:00,1739156400,1739160000,6.87,3.4,1031,87,6.87,7.07,5.66,803,Clouds,broken clouds,0
10-02-2025,04:00-05:00,1739160000,1739163600,6.87,4.09,1031,81,6.51,6.87,4.12,803,Clouds,broken clouds,0
10-02-2025,05:00-06:00,1739163600,1739167200,5.87,2.14,1031,87,5.87,6.51,5.66,803,Clouds,broken clouds,0
10-02-2025,06:00-07:00,1739167200,1739170800,5.87,2.14,1030,81,5.87,5.96,5.66,803,Clouds,broken clouds,0
10-02-2025,07:00-08:00,1739170800,1739174400,5.87,2.36,1030,81,5.87,5.96,5.14,803,Clouds,broken clouds,0
10-02-2025,8:00-9:00,1739174400,1739178000,4.87,1.36,1030,81,4.29,4.87,4.63,801,Clouds,few clouds,0.35
10-02-2025,9:00-10:00,1739178000,1739181600,3.87,0.4,1029,87,3.87,5.4,4.12,803,Clouds,broken clouds,0.91
10-02-2025,10:00-11:00,1739181600,1739185200,4.87,0.66,1029,81,4.87,5.4,6.17,803,Clouds,broken clouds,2.76
10-02-2025,11:00-12:00,1739185200,1739188800,4.87,-0.07,1029,81,4.87,5.4,8.23,803,Clouds,broken clouds,5.95
10-02-2025,12:00-13:00,1739188800,1739192400,4.87,0.66,1029,81,4.87,5.96,6.17,803,Clouds,broken clouds,10.35
10-02-2025,13:00-14:00,1739192400,1739196000,5.87,2.14,1028,81,5.87,6.51,5.66,803,Clouds,broken clouds,7.41
10-02-2025,14:00-15:00,1739196000,1739199600,5.87,1.93,1027,81,5.87,6.51,6.17,803,Clouds,broken clouds,3.78
10-02-2025,15:00-16:00,1739199600,1739203200,5.87,2.36,1026,81,5.87,6.51,5.14,803,Clouds,broken clouds,1.9
10-02-2025,16:00-17:00,1739203200,1739206800,5.87,2.36,1026,81,5.87,5.96,5.14,803,Clouds,broken clouds,0.55
10-02-2025,17:00-18:00,1739206800,1739210400,5.87,2.36,1026,81,5.87,5.96,5.14,803,Clouds,broken clouds,0.01
10-02-2025,18:00-19:00,1739210400,1739214000,4.87,1.36,1025,87,4.87,5.4,4.63,803,Clouds,broken clouds,0
10-02-2025,19:00-20:00,1739214000,1739217600,4.87,1.11,1025,81,4.87,5.4,5.14,803,Clouds,broken clouds,0
10-02-2025,20:00-21:00,1739217600,1739221200,4.87,1.11,1025,81,4.87,5.4,5.14,803,Clouds,broken clouds,0
10-02-2025,21:00-22:00,1739221200,1739224800,4.87,0.87,1025,81,4.87,5.4,5.66,803,Clouds,broken clouds,0
10-02-2025,22:00-23:00,1739224800,1739228400,4.87,0.66,1025,81,4.84,4.87,6.17,803,Clouds,broken clouds,0
10-02-2025,23:00-24:00,1739228400,1739232000,4.87,0.87,1024,87,4.84,4.87,5.66,803,Clouds,broken clouds,0
11-02-2025,00:00-01:00,1739232000,1739235600,4.87,0.87,1023,87,4.29,4.87,5.66,300,Drizzle,light intensity drizzle,0
11-02-2025,01:00-02:00,1739235600,1739239200,4.87,0.87,1023,87,4.84,4.87,5.66,803,Clouds,broken clouds,0
11-02-2025,02:00-03:00,1739239200,1739242800,3.87,0.11,1022,93,3.87,4.84,4.63,803,Clouds,broken clouds,0
11-02-2025,03:00-04:00,1739242800,1739246400,4.87,1.11,1022,87,4.84,4.87,5.14,300,Drizzle,light intensity drizzle,0
11-02-2025,04:00-05:00,1739246400,1739250000,3.87,-0.39,1022,100,3.87,4.29,5.66,300,Drizzle,light intensity drizzle,0
11-02-2025,05:00-06:00,1739250000,1739253600,3.87,-0.39,1021,100,3.87,4.84,5.66,520,Rain,light intensity shower rain,0
11-02-2025,06:00-07:00,1739253600,1739257200,3.87,-0.15,1020,100,3.87,4.29,5.14,300,Drizzle,light intensity drizzle,0
11-02-2025,07:00-08:00,1739257200,1739260800,3.87,-0.39,1020,93,3.87,4.29,5.66,300,Drizzle,light intensity drizzle,0
11-02-2025,8:00-9:00,1739260800,1739264400,3.87,-0.39,1020,93,3.87,4.29,5.66,803,Clouds,broken clouds,0.1
11-02-2025,9:00-10:00,1739264400,1739268000,3.87,-0.39,1020,93,3.87,4.29,5.66,500,Rain,light rain,3.78
11-02-2025,10:00-11:00,1739268000,1739271600,3.87,-0.82,1019,100,3.87,4.29,6.69,803,Clouds,broken clouds,4.06
11-02-2025,11:00-12:00,1739271600,1739275200,4.87,0.66,1019,93,4.84,4.87,6.17,803,Clouds,broken clouds,6.3
11-02-2025,12:00-13:00,1739275200,1739278800,4.87,0.87,1019,93,4.87,6.51,5.66,803,Clouds,broken clouds,9.03
11-02-2025,13:00-14:00,1739278800,1739282400,5.87,1.56,1018,75,5.87,6.51,7.2,803,Clouds,broken clouds,5.61
11-02-2025,14:00-15:00,1739282400,1739286000,5.87,1.39,1017,75,5.87,6.51,7.72,803,Clouds,broken clouds,1.12
11-02-2025,15:00-16:00,1739286000,1739289600,5.87,1.74,1017,75,5.87,5.96,6.69,500,Rain,light rain,0.66
11-02-2025,16:00-17:00,1739289600,1739293200,4.87,0.27,1016,81,4.87,5.4,7.2,500,Rain,light rain,0.15
11-02-2025,17:00-18:00,1739293200,1739296800,4.87,0.27,1016,87,4.87,5.4,7.2,501,Rain,moderate rain,0
11-02-2025,18:00-19:00,1739296800,1739300400,4.87,0.27,1016,93,4.87,5.96,7.2,501,Rain,moderate rain,0
11-02-2025,19:00-20:00,1739300400,1739304000,4.87,0.1,1016,93,4.87,5.4,7.72,500,Rain,light rain,0
11-02-2025,20:00-21:00,1739304000,1739307600,4.87,-0.07,1016,93,4.87,5.96,8.23,501,Rain,moderate rain,0
11-02-2025,21:00-22:00,1739307600,1739311200,5.87,0.94,1016,87,5.87,5.96,9.26,310,Drizzle,light intensity drizzle rain,0
11-02-2025,22:00-23:00,1739311200,1739314800,5.87,1.23,1016,87,5.87,6.51,8.23,310,Drizzle,light intensity drizzle rain,0
11-02-2025,23:00-24:00,1739314800,1739318400,5.87,1.08,1016,93,5.87,6.51,8.75,310,Drizzle,light intensity drizzle rain,0
12-02-2025,00:00-01:00,1739318400,1739322000,5.87,1.08,1016,93,5.87,6.51,8.75,501,Rain,moderate rain,0
12-02-2025,01:00-02:00,1739322000,1739325600,5.87,1.56,1015,93,5.87,6.51,7.2,310,Drizzle,light intensity drizzle rain,0
12-02-2025,02:00-03:00,1739325600,1739329200,5.87,1.56,1015,93,5.87,5.96,7.2,310,Drizzle,light intensity drizzle rain,0
12-02-2025,03:00-04:00,1739329200,1739332800,5.87,1.74,1015,93,5.87,5.96,6.69,300,Drizzle,light intensity drizzle,0
12-02-2025,04:00-05:00,1739332800,1739336400,5.87,1.56,1015,93,5.87,5.96,7.2,300,Drizzle,light intensity drizzle,0
12-02-2025,05:00-06:00,1739336400,1739340000,5.87,1.23,1016,93,5.87,5.96,8.23,300,Drizzle,light intensity drizzle,0
12-02-2025,06:00-07:00,1739340000,1739343600,5.87,1.23,1016,93,5.87,6.51,8.23,300,Drizzle,light intensity drizzle,0
12-02-2025,07:00-08:00,1739343600,1739347200,5.87,1.56,1016,93,5.87,6.51,7.2,301,Drizzle,drizzle,0
12-02-2025,8:00-9:00,1739347200,1739350800,5.87,1.56,1016,93,5.87,6.51,7.2,300,Drizzle,light intensity drizzle,0.01
12-02-2025,9:00-10:00,1739350800,1739354400,5.87,1.39,1017,93,5.87,6.51,7.72,300,Drizzle,light intensity drizzle,0.28
12-02-2025,10:00-11:00,1739354400,1739358000,6.87,2.69,1018,87,6.87,7.07,7.72,300,Drizzle,light intensity drizzle,0.45
12-02-2025,11:00-12:00,1739358000,1739361600,6.87,3.02,1018,87,6.87,7.07,6.69,300,Drizzle,light intensity drizzle,1.53
12-02-2025,12:00-13:00,1739361600,1739365200,6.87,3.21,1018,87,6.87,7.07,6.17,500,Rain,light rain,1.2
12-02-2025,13:00-14:00,1739365200,1739368800,6.87,3.4,1018,93,6.87,7.07,5.66,803,Clouds,broken clouds,0.78
12-02-2025,14:00-15:00,1739368800,1739372400,6.87,3.21,1018,93,6.87,7.07,6.17,803,Clouds,broken clouds,1.2
12-02-2025,15:00-16:00,1739372400,1739376000,6.87,3.02,1018,93,6.51,6.87,6.69,500,Rain,light rain,1.2
12-02-2025,16:00-17:00,1739376000,1739379600,6.87,3.02,1018,93,6.51,6.87,6.69,803,Clouds,broken clouds,0.15
12-02-2025,17:00-18:00,1739379600,1739383200,5.87,1.39,1018,93,5.87,6.51,7.72,300,Drizzle,light intensity drizzle,0
12-02-2025,18:00-19:00,1739383200,1739386800,5.87,1.56,1018,93,5.87,6.51,7.2,803,Clouds,broken clouds,0
12-02-2025,19:00-20:00,1739386800,1739390400,5.87,1.74,1018,93,5.87,7.07,6.69,803,Clouds,broken clouds,0
12-02-2025,20:00-21:00,1739390400,1739394000,6.87,3.21,1019,87,6.87,7.07,6.17,300,Drizzle,light intensity drizzle,0
12-02-2025,21:00-22:00,1739394000,1739397600,6.87,2.85,1019,87,6.87,7.07,7.2,300,Drizzle,light intensity drizzle,0
12-02-2025,22:00-23:00,1739397600,1739401200,6.87,3.21,1019,87,6.87,7.07,6.17,300,Drizzle,light intensity drizzle,0
12-02-2025,23:00-24:00,1739401200,1739404800,5.87,1.74,1019,93,5.87,6.51,6.69,310,Drizzle,light intensity drizzle rain,0
13-02-2025,00:00-01:00,1739404800,1739408400,5.87,1.56,1019,93,5.87,7.07,7.2,803,Clouds,broken clouds,0
13-02-2025,01:00-02:00,1739408400,1739412000,6.87,3.02,1019,87,6.87,7.07,6.69,300,Drizzle,light intensity drizzle,0
13-02-2025,02:00-03:00,1739412000,1739415600,6.87,3.21,1019,93,6.87,7.07,6.17,300,Drizzle,light intensity drizzle,0
13-02-2025,03:00-04:00,1739415600,1739419200,6.87,3.21,1019,93,6.87,7.07,6.17,300,Drizzle,light intensity drizzle,0
13-02-2025,04:00-05:00,1739419200,1739422800,6.87,3.4,1019,93,6.87,7.07,5.66,300,Drizzle,light intensity drizzle,0
13-02-2025,05:00-06:00,1739422800,1739426400,6.87,2.69,1019,93,6.87,7.07,7.72,300,Drizzle,light intensity drizzle,0
13-02-2025,06:00-07:00,1739426400,1739430000,6.87,2.69,1019,93,6.51,6.87,7.72,300,Drizzle,light intensity drizzle,0
13-02-2025,07:00-08:00,1739430000,1739433600,5.87,1.74,1019,93,5.87,7.07,6.69,300,Drizzle,light intensity drizzle,0
13-02-2025,8:00-9:00,1739433600,1739437200,6.87,2.85,1018,87,6.87,7.07,7.2,803,Clouds,broken clouds,0.03
13-02-2025,9:00-10:00,1739437200,1739440800,6.87,2.54,1018,87,6.87,7.07,8.23,803,Clouds,broken clouds,0.55
13-02-2025,10:00-11:00,1739440800,1739444400,6.87,2.25,1018,87,6.87,7.07,9.26,803,Clouds,broken clouds,0.91
13-02-2025,11:00-12:00,1739444400,1739448000,6.87,2.39,1018,81,6.87,7.07,8.75,803,Clouds,broken clouds,2.31
13-02-2025,12:00-13:00,1739448000,1739451600,6.87,2,1017,81,6.87,7.07,10.29,803,Clouds,broken clouds,2.53
13-02-2025,13:00-14:00,1739451600,1739455200,6.87,2,1017,81,6.87,7.07,10.29,803,Clouds,broken clouds,4.06
13-02-2025,14:00-15:00,1739455200,1739458800,6.87,2,1015,87,6.87,7.07,10.29,500,Rain,light rain,0.66
13-02-2025,15:00-16:00,1739458800,1739462400,6.87,1.88,1014,81,6.87,7.07,10.8,500,Rain,light rain,0.28
13-02-2025,16:00-17:00,1739462400,1739466000,6.87,1.88,1013,87,6.87,7.07,10.8,501,Rain,moderate rain,0.1
13-02-2025,17:00-18:00,1739466000,1739469600,6.87,2,1014,93,6.51,6.87,10.29,500,Rain,light rain,0
13-02-2025,18:00-19:00,1739469600,1739473200,6.87,1.88,1014,93,6.87,7.07,10.8,804,Clouds,overcast clouds,0
13-02-2025,19:00-20:00,1739473200,1739476800,6.87,1.76,1014,93,6.87,7.62,11.32,500,Rain,light rain,0
13-02-2025,20:00-21:00,1739476800,1739480400,6.87,1.76,1013,100,6.87,7.07,11.32,500,Rain,light rain,0
13-02-2025,21:00-22:00,1739480400,1739484000,6.87,1.88,1013,100,6.87,7.07,10.8,501,Rain,moderate rain,0
13-02-2025,22:00-23:00,1739484000,1739487600,6.87,1.88,1013,100,6.87,7.07,10.8,500,Rain,light rain,0
13-02-2025,23:00-24:00,1739487600,1739491200,6.87,1.54,1013,100,6.87,7.62,12.35,803,Clouds,broken clouds,0
14-02-2025,00:00-01:00,1739491200,1739494800,7.87,2.99,1013,93,7.62,7.87,11.83,500,Rain,light rain,0
14-02-2025,01:00-02:00,1739494800,1739498400,7.87,3.21,1013,100,7.62,7.87,10.8,803,Clouds,broken clouds,0
14-02-2025,02:00-03:00,1739498400,1739502000,7.87,2.99,1013,100,7.87,8.18,11.83,803,Clouds,broken clouds,0
14-02-2025,03:00-04:00,1739502000,1739505600,7.87,3.1,1012,100,7.87,8.18,11.32,803,Clouds,broken clouds,0
14-02-2025,04:00-05:00,1739505600,1739509200,7.87,3.57,1012,100,7.87,8.18,9.26,501,Rain,moderate rain,0
14-02-2025,05:00-06:00,1739509200,1739512800,7.87,3.7,1012,100,7.87,8.18,8.75,501,Rain,moderate rain,0
14-02-2025,06:00-07:00,1739512800,1739516400,7.87,3.21,1011,100,7.87,8.18,10.8,501,Rain,moderate rain,0
14-02-2025,07:00-08:00,1739516400,1739520000,7.87,3.57,1011,100,7.87,8.18,9.26,502,Rain,heavy intensity rain,0
14-02-2025,8:00-9:00,1739520000,1739523600,8.87,5.01,1012,93,8.73,8.87,8.75,501,Rain,moderate rain,0.1
14-02-2025,9:00-10:00,1739523600,1739527200,8.87,5.75,1013,100,8.73,8.87,6.17,803,Clouds,broken clouds,3.51
14-02-2025,10:00-11:00,1739527200,1739530800,9.87,8.3,1014,93,9.87,9.87,3.09,741,Fog,fog,19.53
14-02-2025,11:00-12:00,1739530800,1739534400,9.87,8.3,1014,100,9.87,9.87,3.09,701,Mist,mist,21.45
14-02-2025,12:00-13:00,1739534400,1739538000,10.87,10.44,1015,93,10.87,10.87,1.54,803,Clouds,broken clouds,49.66
14-02-2025,13:00-14:00,1739538000,1739541600,10.87,10.44,1015,93,10.87,10.87,2.06,803,Clouds,broken clouds,34.22
14-02-2025,14:00-15:00,1739541600,1739545200,10.87,10.44,1015,93,10.87,10.87,1.03,803,Clouds,broken clouds,24.69
14-02-2025,15:00-16:00,1739545200,1739548800,12.87,12.35,1015,82,12.87,12.87,3.09,803,Clouds,broken clouds,11.76
14-02-2025,16:00-17:00,1739548800,1739552400,12.87,12.35,1015,82,12.87,12.87,3.6,802,Clouds,scattered clouds,32.4
14-02-2025,17:00-18:00,1739552400,1739556000,11.87,11.38,1015,87,11.87,11.87,4.12,801,Clouds,few clouds,1.36
14-02-2025,18:00-19:00,1739556000,1739559600,9.87,8.3,1016,93,9.87,9.87,3.09,801,Clouds,few clouds,0
14-02-2025,19:00-20:00,1739559600,1739563200,8.87,6.33,1016,100,8.87,9.84,4.63,741,Fog,fog,0
14-02-2025,20:00-21:00,1739563200,1739566800,9.87,7.79,1016,100,9.29,9.87,4.12,741,Fog,fog,0
14-02-2025,21:00-22:00,1739566800,1739570400,8.87,6.12,1016,100,8.87,9.29,5.14,741,Fog,fog,0
14-02-2025,22:00-23:00,1739570400,1739574000,8.87,6.12,1016,100,8.87,9.29,5.14,803,Clouds,broken clouds,0
14-02-2025,23:00-24:00,1739574000,1739577600,8.87,6.12,1016,100,8.87,9.29,5.14,803,Clouds,broken clouds,0
15-02-2025,00:00-01:00,1739577600,1739581200,9.87,7.19,1015,93,9.29,9.87,5.66,741,Fog,fog,0
15-02-2025,01:00-02:00,1739581200,1739584800,8.87,5.75,1014,100,8.87,9.29,6.17,741,Fog,fog,0
15-02-2025,02:00-03:00,1739584800,1739588400,8.87,5.75,1014,100,8.73,8.87,6.17,741,Fog,fog,0
15-02-2025,03:00-04:00,1739588400,1739592000,8.87,5.58,1013,100,8.73,8.87,6.69,803,Clouds,broken clouds,0
15-02-2025,04:00-05:00,1739592000,1739595600,8.87,5.58,1012,100,8.87,9.29,6.69,803,Clouds,broken clouds,0
15-02-2025,05:00-06:00,1739595600,1739599200,8.87,5.93,1012,100,8.87,9.84,5.66,803,Clouds,broken clouds,0
15-02-2025,06:00-07:00,1739599200,1739602800,9.87,7.57,1012,100,9.87,10.4,4.63,500,Rain,light rain,0
15-02-2025,07:00-08:00,1739602800,1739606400,9.87,7.79,1012,100,9.87,10.4,4.12,741,Fog,fog,0
15-02-2025,8:00-9:00,1739606400,1739610000,10.87,10.62,1012,100,9.84,10.87,4.63,741,Fog,fog,0.45
15-02-2025,9:00-10:00,1739610000,1739613600,10.87,10.44,1012,93,10.4,10.87,5.14,741,Fog,fog,1.53
15-02-2025,10:00-11:00,1739613600,1739617200,10.87,10.62,1013,100,10.4,10.87,5.14,300,Drizzle,light intensity drizzle,1.53
15-02-2025,11:00-12:00,1739617200,1739620800,10.87,10.62,1013,100,10.4,10.87,6.69,300,Drizzle,light intensity drizzle,5.28
15-02-2025,12:00-13:00,1739620800,1739624400,10.87,10.62,1013,100,10.4,10.87,6.69,300,Drizzle,light intensity drizzle,7.03
15-02-2025,13:00-14:00,1739624400,1739628000,10.87,10.62,1013,100,10.4,10.87,6.69,741,Fog,fog,5.95
15-02-2025,14:00-15:00,1739628000,1739631600,10.87,10.62,1012,100,10.4,10.87,6.69,300,Drizzle,light intensity drizzle,3.51
15-02-2025,15:00-16:00,1739631600,1739635200,10.87,10.44,1012,93,10.4,10.87,7.2,300,Drizzle,light intensity drizzle,1.05
15-02-2025,16:00-17:00,1739635200,1739638800,9.87,6.72,1012,100,9.84,9.87,7.2,300,Drizzle,light intensity drizzle,0.28
15-02-2025,17:00-18:00,1739638800,1739642400,9.87,6.32,1012,100,9.84,9.87,8.75,300,Drizzle,light intensity drizzle,0.01
15-02-2025,18:00-19:00,1739642400,1739646000,9.87,7.02,1012,100,9.84,9.87,6.17,300,Drizzle,light intensity drizzle,0
15-02-2025,19:00-20:00,1739646000,1739649600,9.87,7.19,1012,93,9.84,9.87,5.66,300,Drizzle,light intensity drizzle,0
15-02-2025,20:00-21:00,1739649600,1739653200,8.87,5.75,1012,100,8.87,9.29,6.17,803,Clouds,broken clouds,0
15-02-2025,21:00-22:00,1739653200,1739656800,8.87,5.93,1012,100,8.87,9.29,5.66,803,Clouds,broken clouds,0
15-02-2025,22:00-23:00,1739656800,1739660400,8.87,6.12,1012,100,8.87,9.29,5.14,803,Clouds,broken clouds,0
15-02-2025,23:00-24:00,1739660400,1739664000,8.87,6.12,1012,93,8.87,9.29,5.14,803,Clouds,broken clouds,0
16-02-2025,00:00-01:00,1739664000,1739667600,8.87,6.12,1012,93,8.87,9.29,5.14,803,Clouds,broken clouds,0
16-02-2025,01:00-02:00,1739667600,1739671200,8.87,6.56,1012,93,8.73,8.87,4.12,803,Clouds,broken clouds,0
16-02-2025,02:00-03:00,1739671200,1739674800,8.87,6.33,1012,93,8.73,8.87,4.63,803,Clouds,broken clouds,0
16-02-2025,03:00-04:00,1739674800,1739678400,8.87,6.33,1012,93,8.73,8.87,4.63,803,Clouds,broken clouds,0
16-02-2025,04:00-05:00,1739678400,1739682000,7.87,4.66,1011,93,7.87,8.73,5.66,803,Clouds,broken clouds,0
16-02-2025,05:00-06:00,1739682000,1739685600,7.87,4.66,1011,100,7.87,8.73,5.66,803,Clouds,broken clouds,0
16-02-2025,06:00-07:00,1739685600,1739689200,7.87,4.14,1011,100,7.87,8.73,7.2,500,Rain,light rain,0
16-02-2025,07:00-08:00,1739689200,1739692800,8.87,5.75,1011,93,8.73,8.87,6.17,500,Rain,light rain,0
16-02-2025,8:00-9:00,1739692800,1739696400,8.87,5.43,1012,93,8.73,8.87,7.2,500,Rain,light rain,0.1
16-02-2025,9:00-10:00,1739696400,1739700000,8.87,5.43,1012,93,8.87,9.29,7.2,500,Rain,light rain,2.53
16-02-2025,10:00-11:00,1739700000,1739703600,8.87,5.28,1013,93,8.87,9.29,7.72,803,Clouds,broken clouds,28.5
16-02-2025,11:00-12:00,1739703600,1739707200,8.87,5.28,1013,93,8.87,9.29,7.72,500,Rain,light rain,29.26
16-02-2025,12:00-13:00,1739707200,1739710800,8.87,5.43,1014,93,8.87,9.84,7.2,500,Rain,light rain,15.4
16-02-2025,13:00-14:00,1739710800,1739714400,8.87,5.28,1013,93,8.87,9.29,7.72,803,Clouds,broken clouds,61.56
16-02-2025,14:00-15:00,1739714400,1739718000,8.87,5.28,1013,87,8.87,9.29,7.72,803,Clouds,broken clouds,35.25
16-02-2025,15:00-16:00,1739718000,1739721600,8.87,5.14,1013,87,8.87,9.29,8.23,803,Clouds,broken clouds,4.35
16-02-2025,16:00-17:00,1739721600,1739725200,8.87,5.28,1014,87,8.87,9.29,7.72,803,Clouds,broken clouds,1.36
16-02-2025,17:00-18:00,1739725200,1739728800,8.87,5.28,1014,87,8.87,9.29,7.72,803,Clouds,broken clouds,0.01
16-02-2025,18:00-19:00,1739728800,1739732400,8.87,5.28,1014,87,8.73,8.87,7.72,803,Clouds,broken clouds,0
16-02-2025,19:00-20:00,1739732400,1739736000,8.87,5.43,1015,81,8.73,8.87,7.2,803,Clouds,broken clouds,0
16-02-2025,20:00-21:00,1739736000,1739739600,7.87,3.98,1015,87,7.87,8.73,7.72,803,Clouds,broken clouds,0
16-02-2025,21:00-22:00,1739739600,1739743200,7.87,4.3,1015,87,7.87,8.73,6.69,803,Clouds,broken clouds,0
16-02-2025,22:00-23:00,1739743200,1739746800,7.87,3.98,1015,87,7.87,8.73,7.72,803,Clouds,broken clouds,0
16-02-2025,23:00-24:00,1739746800,1739750400,7.87,4.3,1015,87,7.87,8.73,6.69,803,Clouds,broken clouds,0
